Uniprot	Family	Domain	Repeat	Motif	Coiled-coil	Disordered
Q08001	1	1	0	0	0	0	2
Q12043	2	0	0	0	0	0	2
P53378	0	2	0	0	0	0	2
P38930	0	1	0	0	0	0	1
P36525	1	0	0	0	0	0	1
P42942	2	0	0	0	0	0	2
P43558	1	0	0	0	0	0	1
P53881	0	1	0	0	0	0	1
Q05942	1	0	0	0	0	0	1
Q02608	1	0	0	0	0	0	1
P32644	0	3	0	0	0	0	3
P32776	0	3	0	0	0	0	3
Q12511	1	0	0	0	0	0	1
P06782	0	3	0	0	0	0	3
P35178	1	0	0	0	0	0	1
P30665	0	3	0	0	0	0	3
Q12496	1	1	0	0	0	0	2
P53742	1	1	0	0	0	0	2
P32807	1	2	0	0	0	0	3
P25293	1	0	0	0	0	0	1
P06103	1	1	0	0	0	0	2
P40851	1	1	0	0	0	0	2
P40578	0	1	1	0	0	0	2
Q06179	3	4	0	0	0	0	7
Q03559	1	0	0	0	0	0	1
P32464	1	0	0	0	0	0	1
P40066	0	0	4	0	0	0	4
Q04458	1	0	0	0	0	0	1
P25334	0	1	0	0	0	0	1
Q03660	1	0	0	0	0	0	1
P47988	0	2	0	0	0	0	2
P32445	0	1	0	0	0	0	1
P41543	1	0	0	0	0	0	1
P40088	1	0	0	0	0	0	1
P36057	0	1	0	0	0	0	1
P13188	2	2	0	0	0	0	4
Q08965	1	2	0	0	0	0	3
P40364	1	0	0	0	0	0	1
Q03088	1	0	0	0	0	0	1
P14020	1	0	0	0	0	0	1
Q04212	0	1	0	0	0	0	1
P34226	0	0	7	0	0	0	7
Q07951	1	0	0	0	0	0	1
P53733	0	1	0	0	0	0	1
P40340	0	2	0	0	0	0	2
P38993	0	3	0	0	0	0	3
Q05874	1	0	0	0	0	0	1
P38687	1	0	0	0	0	0	1
P16603	0	3	0	0	0	0	3
P02406	1	0	0	0	0	0	1
P32873	0	3	0	0	0	0	3
P04161	0	1	0	0	0	0	1
P27692	1	1	1	0	0	0	3
P34162	1	0	0	0	0	0	1
P25294	0	2	0	0	0	0	2
Q08925	0	1	0	0	0	0	1
P02994	0	3	0	0	0	0	3
P06101	0	3	0	0	0	0	3
P53836	0	1	0	0	0	0	1
P38138	2	1	0	0	0	0	3
P47044	1	0	0	0	0	0	1
P30605	1	0	0	0	0	0	1
P53064	0	1	0	0	0	0	1
P48234	0	1	0	0	0	0	1
Q04493	0	0	0	0	1	0	1
Q99321	0	1	0	0	0	0	1
P42842	0	0	1	0	0	0	1
P38708	0	3	0	0	0	0	3
P39727	1	1	0	0	0	0	2
Q02256	0	1	0	0	0	0	1
Q12389	1	2	0	0	0	0	3
P49334	1	0	0	0	0	0	1
P40059	0	1	0	0	0	0	1
P20459	1	1	0	0	0	0	2
P48362	2	0	0	0	0	0	2
P36088	0	1	0	0	0	0	1
P35817	1	2	0	0	0	0	3
P25631	0	0	1	0	0	0	1
P15703	0	1	0	0	0	0	1
P38837	1	0	0	0	0	0	1
P53899	1	0	0	0	0	0	1
P38070	1	1	0	0	0	0	2
Q12374	1	0	0	0	0	0	1
Q12514	2	0	0	0	0	0	2
P06182	1	0	0	0	0	0	1
P40159	1	0	0	0	0	0	1
Q05518	1	0	0	0	0	0	1
P53600	0	1	0	0	0	0	1
Q12136	0	1	0	0	0	0	1
Q03280	3	1	0	0	0	0	4
P15367	0	1	0	0	0	0	1
P22147	1	0	0	0	0	0	1
P22135	1	0	0	0	0	0	1
Q02724	0	1	0	0	0	0	1
P80428	1	0	0	0	0	0	1
P38604	0	2	0	0	0	0	2
P53246	0	1	0	0	0	0	1
P38315	1	0	0	0	0	0	1
P33895	1	0	0	0	0	0	1
P46682	1	0	0	0	0	0	1
P33203	4	2	0	0	0	0	6
P39524	4	0	0	0	0	0	4
P31412	1	0	0	0	0	0	1
P47149	1	0	0	0	0	0	1
P25373	0	1	0	0	0	0	1
P38771	0	1	0	0	0	0	1
P12383	0	2	0	0	0	0	2
P14306	0	1	0	0	0	0	1
P40469	0	2	0	0	0	0	2
Q07938	0	1	0	0	0	0	1
P40460	1	0	0	0	0	0	1
P25389	0	2	0	0	0	0	2
P19454	0	1	0	0	0	0	1
P38810	0	5	0	0	0	0	5
Q08826	0	1	0	0	0	0	1
Q04675	0	1	0	0	0	0	1
P40485	0	1	0	0	0	0	1
P09547	0	1	0	0	0	0	1
P53759	1	0	0	0	0	0	1
P18480	1	0	0	0	0	0	1
P25357	0	2	0	0	0	0	2
P11914	1	1	0	0	0	0	2
P07834	0	2	5	0	0	0	7
Q06336	0	3	0	0	0	0	3
P11433	0	4	0	0	0	0	4
P53914	3	1	0	0	0	0	4
Q03516	3	1	0	0	0	0	4
Q12143	1	0	0	0	0	0	1
P09880	1	2	0	0	0	0	3
P41911	1	1	0	0	0	0	2
P40024	0	3	0	0	0	0	3
P41318	0	0	4	0	0	0	4
P25627	1	1	0	0	0	0	2
P45818	1	1	0	0	0	0	2
P32898	2	2	0	0	0	0	4
Q05635	1	0	0	0	0	0	1
P43123	1	0	0	0	0	0	1
P31115	0	1	0	0	0	0	1
P32902	1	0	0	0	0	0	1
P39993	0	2	0	0	0	0	2
P21771	0	1	0	0	0	0	1
Q05050	1	0	0	0	0	0	1
P53011	0	0	4	0	0	0	4
P36104	0	0	2	0	0	0	2
P36006	1	2	0	0	0	0	3
P53334	0	1	0	0	0	0	1
P38254	2	0	0	0	0	0	2
P32660	3	0	0	0	0	0	3
Q03656	0	2	0	0	0	0	2
Q12429	1	1	0	0	0	0	2
P32867	1	1	0	0	0	0	2
P26755	0	1	0	0	0	0	1
P43583	1	2	0	0	0	0	3
P53202	1	1	0	0	0	0	2
P32910	1	0	0	0	0	0	1
Q12504	1	0	0	0	0	0	1
Q99297	3	0	0	0	0	0	3
P38331	0	1	0	0	0	0	1
P38756	0	1	0	0	0	0	1
P25039	0	5	0	0	0	0	5
P34220	0	1	0	0	0	0	1
P14832	0	1	0	0	0	0	1
P34219	0	1	0	0	0	0	1
Q03266	0	1	0	0	0	0	1
P35845	1	1	1	0	0	0	3
Q06639	0	1	0	0	0	0	1
P32331	3	0	0	0	0	0	3
P34248	1	0	0	0	0	0	1
P0CX25	1	0	0	0	0	0	1
P40032	0	1	0	0	0	0	1
P53691	0	1	0	0	0	0	1
P47135	0	1	3	0	0	0	4
P25045	0	1	0	0	0	0	1
P25635	1	0	5	0	0	0	6
P47102	0	2	0	0	0	0	2
P53844	0	2	0	0	0	0	2
P38772	0	1	0	0	0	0	1
Q12250	0	1	0	0	0	0	1
P25567	0	1	0	0	0	0	1
P33442	1	0	0	0	0	0	1
P36040	1	0	0	0	0	0	1
P35844	1	0	0	0	0	0	1
P35732	1	0	0	0	0	0	1
P40018	0	1	0	0	0	0	1
Q12680	1	5	0	0	0	0	6
Q99260	0	1	0	0	0	0	1
Q12149	0	3	0	0	0	0	3
P38286	0	1	0	0	0	0	1
P38041	0	3	0	0	0	0	3
Q05584	1	1	0	0	0	0	2
P43593	1	0	0	0	0	0	1
P40055	0	1	0	0	0	0	1
P04051	0	5	0	0	0	0	5
Q05541	1	0	0	0	0	0	1
P19073	0	1	0	0	0	0	1
Q00916	1	1	0	0	0	0	2
Q03219	0	1	0	0	0	0	1
P39936	1	1	0	0	0	0	2
P36152	1	1	0	0	0	0	2
P32487	1	0	0	0	0	0	1
P36056	2	0	0	0	0	0	2
P42900	1	0	0	0	0	0	1
P38065	1	1	0	0	0	0	2
P51401	0	2	0	0	0	0	2
P50102	1	1	0	0	0	0	2
P15303	0	5	0	0	0	0	5
Q00772	0	1	0	0	0	0	1
P49367	1	1	0	0	0	0	2
Q03799	0	1	0	0	0	0	1
P33302	3	3	0	0	0	0	6
Q00873	1	0	0	0	0	0	1
P53909	0	1	0	0	0	0	1
P41896	1	0	0	0	0	0	1
P33891	1	0	0	0	0	0	1
P04819	2	1	0	0	0	0	3
P53920	0	4	0	0	0	0	4
P41819	0	1	0	0	0	0	1
Q06406	0	1	0	0	0	0	1
P53981	1	0	0	0	0	0	1
P22082	2	4	0	0	0	0	6
P39719	1	1	0	0	0	0	2
P47165	0	1	0	0	0	0	1
P28708	0	1	0	0	0	0	1
P40360	1	0	0	0	0	0	1
P32784	1	0	0	0	0	0	1
Q03769	0	1	0	0	0	0	1
P15731	0	1	0	0	0	0	1
P29295	0	1	0	0	0	0	1
P50107	0	2	0	0	0	0	2
Q86ZR7	1	0	0	0	0	0	1
P42949	1	0	0	0	0	0	1
P38222	1	0	0	0	0	0	1
Q12434	0	1	0	0	0	0	1
P12866	2	2	0	0	0	0	4
P52490	0	1	0	0	0	0	1
P32602	0	1	0	0	0	0	1
P47137	0	1	0	0	0	0	1
P31380	2	0	0	0	0	0	2
P12904	0	3	0	0	0	0	3
Q12339	1	0	0	0	0	0	1
P06174	1	0	0	0	0	0	1
Q04602	1	0	0	0	0	0	1
P53200	1	0	0	0	0	0	1
P38856	0	1	0	0	0	0	1
P53043	1	1	0	0	0	0	2
P38131	1	0	0	0	0	0	1
P48524	2	0	0	0	0	0	2
P40487	1	0	0	0	0	0	1
Q99287	1	0	0	0	0	0	1
Q02959	0	1	0	0	0	0	1
P32802	1	0	0	0	0	0	1
P40533	0	1	0	0	0	0	1
P40850	3	0	0	0	0	0	3
P32909	0	1	0	0	0	0	1
P32591	1	2	0	0	0	0	3
P21672	1	2	0	0	0	0	3
P32504	1	1	0	0	0	0	2
Q12387	1	0	0	0	0	0	1
P14922	0	0	2	0	0	0	2
Q05040	1	0	0	0	0	0	1
P46988	0	0	0	0	1	0	1
Q12068	1	0	0	0	0	0	1
P40157	2	0	0	0	0	0	2
P53335	1	0	0	0	0	0	1
P11978	0	1	0	0	0	0	1
P31384	0	1	2	0	0	0	3
P36018	0	1	0	0	0	0	1
P10662	0	2	0	0	0	0	2
P32590	1	0	0	0	0	0	1
P40362	0	0	2	0	0	0	2
P40535	1	0	0	0	0	0	1
P10591	1	0	0	0	0	0	1
Q00055	1	1	0	0	0	0	2
P25626	1	0	0	0	0	0	1
P35182	1	0	0	0	0	0	1
Q08217	0	1	0	0	0	0	1
P24783	1	1	0	0	0	0	2
Q06010	2	2	0	0	0	0	4
P06839	1	2	0	0	0	0	3
P10823	0	1	0	0	0	0	1
P53860	0	2	0	0	0	0	2
P40343	0	2	0	2	0	0	4
P32563	1	0	0	0	0	0	1
Q12344	1	0	0	0	0	0	1
P33328	1	0	0	0	0	0	1
P40482	0	5	0	0	0	0	5
Q12518	0	1	0	0	0	0	1
P24482	1	0	0	0	0	0	1
P20485	2	0	0	0	0	0	2
P53009	0	1	0	0	0	0	1
P53929	0	1	0	0	0	0	1
P15992	1	0	0	0	0	0	1
P38809	1	0	0	0	0	0	1
Q12271	1	1	0	0	0	0	2
P36049	1	0	0	0	0	0	1
P47112	0	1	0	0	0	0	1
P20447	1	1	0	0	0	0	2
P38759	0	1	0	0	0	0	1
Q07468	0	2	0	0	0	0	2
Q02046	0	2	0	0	0	0	2
Q03677	0	1	0	0	0	0	1
Q06488	0	3	0	0	0	0	3
Q04958	1	1	0	0	0	0	2
Q12230	1	0	0	0	0	0	1
P36095	1	0	0	0	0	0	1
P53221	2	0	0	0	0	0	2
P38910	0	1	0	0	0	0	1
Q07953	1	1	0	0	0	0	2
P32458	0	1	0	0	0	0	1
Q05775	1	0	0	0	0	0	1
Q12415	1	1	0	0	0	0	2
Q02486	0	2	0	0	0	0	2
P53292	1	0	0	0	0	0	1
Q02725	1	1	0	0	0	0	2
P33336	1	0	0	0	0	0	1
P32896	1	1	0	0	0	0	2
Q03761	0	1	0	0	0	0	1
P32908	0	2	0	0	0	0	2
P34253	0	1	0	0	0	0	1
Q03784	2	0	0	0	0	0	2
P25374	0	1	0	0	0	0	1
P40160	1	1	0	0	0	0	2
Q03976	1	0	0	0	0	0	1
Q08224	2	0	0	0	0	0	2
P32597	2	3	0	0	0	0	5
P34237	1	0	0	0	0	0	1
P22213	1	0	0	0	0	0	1
P47166	1	0	0	0	1	0	2
P39105	1	0	0	0	0	0	1
P38080	0	1	0	0	0	0	1
Q12386	1	0	0	0	0	0	1
P22353	1	0	0	0	0	0	1
P40474	1	0	0	0	0	0	1
Q04373	0	1	0	0	0	0	1
P25642	0	1	0	0	0	0	1
P39081	1	0	0	0	0	0	1
P16474	1	0	0	0	0	0	1
P38174	0	1	0	0	0	0	1
P51534	1	0	0	0	0	0	1
P22579	1	1	3	0	0	0	5
P39968	0	0	8	0	0	0	8
P53318	1	0	0	0	0	0	1
P19880	2	0	0	0	0	0	2
P13298	0	1	0	0	0	0	1
Q06168	2	0	0	0	0	0	2
P34241	2	0	0	0	0	0	2
P38074	1	0	0	0	0	0	1
P12887	0	1	0	0	0	0	1
P25297	1	0	0	0	0	0	1
P47017	0	1	0	0	0	0	1
Q08282	1	0	1	0	0	0	2
P15646	0	1	0	0	0	0	1
P06700	2	0	0	0	0	0	2
P39966	1	0	0	0	0	0	1
P48445	1	2	0	0	0	0	3
P40328	0	2	0	0	0	0	2
Q07913	1	1	0	0	0	0	2
Q12296	1	0	0	0	0	0	1
Q12306	0	1	0	0	0	0	1
Q00684	0	2	0	0	0	0	2
P22137	7	2	1	0	0	0	10
P40150	1	0	0	0	0	0	1
P38875	1	0	0	0	0	0	1
P39938	1	0	0	0	0	0	1
P22146	0	2	0	0	0	0	2
P48365	1	0	0	0	0	0	1
P47025	1	0	4	0	0	0	5
P39962	0	1	0	0	0	0	1
P53965	0	1	0	0	0	0	1
Q04410	0	1	0	0	0	0	1
Q07844	0	2	0	0	0	0	2
P36022	3	6	0	0	0	0	9
Q12163	0	1	0	0	0	0	1
P00958	1	1	0	0	0	0	2
Q03786	0	1	0	0	0	0	1
P39730	0	3	0	0	0	0	3
P33332	1	1	0	0	0	0	2
P40971	1	1	0	0	0	0	2
P38719	1	1	0	0	0	0	2
P36144	0	1	0	0	0	0	1
P09734	0	2	0	0	0	0	2
Q06218	1	1	0	0	0	0	2
P49166	1	0	0	0	0	0	1
Q12080	1	0	0	0	0	0	1
P38961	1	0	0	0	0	0	1
P29468	1	2	0	0	0	0	3
P32606	0	1	0	0	0	0	1
P45978	0	1	0	0	0	0	1
P29469	1	3	0	0	0	0	4
Q08972	0	3	0	0	0	0	3
P35719	1	0	0	0	0	0	1
P38903	1	0	0	0	0	0	1
Q99383	0	2	0	0	0	0	2
P53885	1	0	0	0	0	0	1
P40957	1	0	0	0	0	0	1
P43636	1	1	0	0	0	0	2
P12954	0	2	0	0	0	0	2
P46959	1	0	0	0	0	0	1
P47019	1	0	0	0	0	0	1
P40528	1	2	0	0	0	0	3
P46995	1	1	0	0	0	0	2
P46957	1	0	0	0	0	0	1
Q07807	0	0	6	0	0	0	6
P39945	0	2	0	0	0	0	2
Q99207	2	0	0	0	0	0	2
Q12532	2	1	0	0	0	0	3
Q12297	0	1	0	0	0	0	1
P36523	1	0	0	0	0	0	1
Q12156	0	1	0	0	0	0	1
Q12436	1	0	0	0	0	0	1
Q07655	0	1	0	0	0	0	1
P04911	1	1	0	0	0	0	2
P40015	0	1	0	0	0	0	1
P38137	1	1	0	0	0	0	2
P40486	1	0	0	0	0	0	1
P33418	1	0	0	0	0	0	1
P41910	1	0	0	0	0	0	1
Q01896	4	2	0	0	0	0	6
P38755	1	0	0	0	0	0	1
P53974	0	1	0	0	0	0	1
Q12181	0	3	0	0	0	0	3
P27515	0	2	0	0	0	0	2
P38829	1	0	0	0	0	0	1
Q06709	1	0	0	0	0	0	1
P08004	2	0	0	0	0	0	2
D6VTK4	1	0	0	0	0	0	1
P61830	0	1	0	0	0	0	1
P23615	1	5	0	0	0	0	6
P53336	1	0	0	0	0	0	1
P38694	1	0	0	0	0	0	1
P39729	3	0	0	0	0	0	3
O13563	1	0	0	0	0	0	1
P32916	1	4	0	0	0	0	5
P49435	0	1	0	0	0	0	1
P06780	0	1	0	0	0	0	1
Q92331	0	2	0	0	0	0	2
P53191	0	1	0	0	0	0	1
Q04947	1	0	0	0	0	0	1
P33892	2	0	0	0	0	0	2
P16664	1	0	0	0	0	0	1
Q04226	0	1	0	0	0	0	1
P49954	1	0	0	0	0	0	1
P39969	0	3	0	0	0	0	3
Q04175	0	2	0	0	0	0	2
Q06685	1	1	0	0	0	0	2
P33760	0	2	0	0	0	0	2
P38850	3	2	0	0	0	0	5
P23293	0	1	0	0	0	0	1
Q12275	2	1	0	0	0	0	3
P25846	0	4	0	0	0	0	4
Q06224	0	3	0	1	0	0	4
P53073	1	0	0	0	0	0	1
P46985	1	0	0	0	0	0	1
P32453	1	0	0	0	0	0	1
P22803	0	1	0	0	0	0	1
P36069	0	1	0	0	0	0	1
Q04183	1	0	0	0	0	0	1
P39107	1	0	0	0	0	0	1
Q06833	1	1	0	0	0	0	2
P50095	0	3	0	0	0	0	3
P53859	0	1	0	0	0	0	1
P33327	0	1	0	0	0	0	1
Q04660	0	1	3	0	0	0	4
Q04779	0	1	0	0	0	0	1
Q06137	0	2	0	0	0	0	2
P02381	1	0	0	0	0	0	1
Q02204	0	1	0	0	0	0	1
Q06494	0	1	0	0	0	0	1
P38146	0	1	0	0	0	0	1
P23641	3	0	0	0	0	0	3
P18963	2	0	0	0	0	0	2
Q12024	0	1	4	0	0	0	5
P38688	0	1	0	0	0	0	1
Q04013	3	0	0	0	0	0	3
Q04235	1	0	0	0	0	0	1
P32598	1	1	0	0	0	0	2
P32353	1	0	0	0	0	0	1
P25588	1	0	0	0	0	0	1
P38272	0	0	0	0	1	0	1
Q12196	1	0	0	0	0	0	1
Q03640	0	5	0	0	0	0	5
P53379	1	0	0	0	0	0	1
P23292	0	1	0	0	0	0	1
Q06078	0	1	1	0	0	0	2
P34244	0	1	0	0	0	0	1
Q08287	0	1	0	0	0	0	1
Q12692	1	1	0	0	0	0	2
P39990	0	1	0	0	0	0	1
P38112	1	1	0	0	0	0	2
Q08924	0	0	1	0	0	0	1
P32608	1	0	0	0	0	0	1
Q08199	1	0	0	0	0	0	1
Q04228	0	2	0	0	0	0	2
P39531	1	0	0	0	0	0	1
Q08687	1	0	0	0	0	0	1
Q05533	1	0	0	0	0	0	1
P47127	1	0	0	0	0	0	1
P38747	1	0	0	0	0	0	1
P40580	0	1	0	0	0	0	1
P22224	1	0	0	0	0	0	1
P40319	1	0	0	0	0	0	1
P33754	1	0	0	0	0	0	1
P40070	0	1	0	0	0	0	1
P27514	1	2	0	0	0	0	3
Q06629	0	1	0	0	0	0	1
P07264	1	1	0	0	0	0	2
P21951	2	1	0	0	0	0	3
P53115	2	1	0	0	0	0	3
P25298	2	0	0	0	0	0	2
P53250	0	2	0	0	0	0	2
P40029	1	0	0	0	0	0	1
P38854	1	0	0	0	0	0	1
P32875	1	1	0	0	0	0	2
P40347	0	1	0	0	0	0	1
P27351	1	0	0	0	0	0	1
Q06188	0	1	0	0	0	0	1
P35177	0	1	0	0	0	0	1
P38244	1	0	0	0	0	0	1
P47037	0	2	0	0	0	0	2
P22204	0	1	0	0	0	0	1
P38523	1	0	0	0	0	0	1
P06704	0	2	0	0	0	0	2
P53276	1	0	0	0	0	0	1
P41920	1	0	0	0	0	0	1
P40208	0	1	0	0	0	0	1
P40958	0	1	0	0	0	0	1
Q03529	1	1	0	0	0	0	2
Q05787	0	0	2	0	0	0	2
P36016	1	0	0	0	0	0	1
Q08144	1	0	0	0	0	0	1
P38805	0	1	0	0	0	0	1
Q02821	2	0	8	0	0	0	10
P38631	2	0	0	0	0	0	2
P39984	1	0	1	0	0	0	2
Q06677	0	1	0	0	0	0	1
P47124	1	0	0	0	0	0	1
P53955	0	1	0	0	0	0	1
P52892	0	1	0	0	0	0	1
Q02648	1	0	0	0	0	0	1
P05740	0	1	0	0	0	0	1
Q02767	1	0	0	0	0	0	1
P53203	1	0	0	0	0	0	1
P33416	0	3	0	0	0	0	3
Q05785	0	1	0	0	0	0	1
P41810	1	2	0	0	0	0	3
P28791	1	0	0	0	0	0	1
P39940	0	5	0	0	0	0	5
P69771	1	0	0	0	0	0	1
Q08977	3	0	0	0	0	0	3
P38712	1	1	0	0	0	0	2
P50896	1	0	0	0	0	0	1
P38262	0	1	3	0	0	0	4
P53145	1	0	0	0	0	0	1
P38144	2	2	0	0	0	0	4
P32471	0	2	0	0	0	0	2
Q08193	0	1	0	0	0	0	1
P53878	0	1	0	0	0	0	1
P53867	1	0	0	0	0	0	1
P50077	4	0	0	0	0	0	4
P38798	4	0	0	0	0	0	4
P47076	1	0	0	0	0	0	1
P38630	1	2	0	0	0	0	3
P38691	0	1	0	0	0	0	1
P53847	0	2	0	0	0	0	2
Q01454	1	0	0	0	0	0	1
P14680	0	1	0	0	0	0	1
P07248	0	2	0	0	0	0	2
Q12179	1	0	0	0	0	0	1
P40553	0	1	0	0	0	0	1
Q12159	0	1	0	0	0	0	1
P05375	1	0	0	0	0	0	1
P36101	0	1	0	0	0	0	1
P53184	1	0	0	0	0	0	1
P11353	1	0	0	0	0	0	1
P32288	0	2	0	0	0	0	2
P38251	0	1	0	0	0	0	1
P32317	1	0	0	0	0	0	1
P89105	0	0	1	0	0	0	1
P13712	1	0	2	0	0	0	3
Q02201	1	0	0	0	0	0	1
Q01802	0	1	0	0	0	0	1
P37262	0	1	0	0	0	0	1
P40356	1	0	0	0	0	0	1
P13433	1	1	0	0	0	0	2
P53972	1	0	0	0	0	0	1
P29704	0	1	0	0	0	0	1
P22336	1	3	0	0	0	0	4
Q04418	2	0	0	0	0	0	2
Q02931	0	0	1	0	0	0	1
P32525	0	2	0	0	0	0	2
P47173	1	1	0	0	0	0	2
P05317	2	0	0	0	0	0	2
P33750	1	0	4	0	0	0	5
Q12460	1	1	0	0	0	0	2
P22276	1	6	0	0	0	0	7
P15790	0	1	0	0	0	0	1
P38797	1	0	0	0	0	0	1
Q05123	1	0	0	0	0	0	1
P53114	1	0	0	0	0	0	1
P33201	1	0	0	0	0	0	1
Q06506	0	0	1	0	0	0	1
P38153	1	0	0	0	0	0	1
P49167	1	0	0	0	0	0	1
P32607	0	1	0	0	0	0	1
Q08649	2	0	0	0	0	0	2
P38427	2	0	0	0	0	0	2
Q99257	0	1	0	0	0	0	1
Q03655	0	1	0	0	0	0	1
P17065	1	0	0	0	0	0	1
P19812	1	0	0	0	0	0	1
P38862	0	2	0	0	0	0	2
P32486	1	0	0	0	0	0	1
Q04223	0	1	0	0	0	0	1
P53865	1	0	0	0	0	0	1
Q06287	1	0	0	0	0	0	1
Q12341	1	1	0	0	0	0	2
P35183	0	2	0	0	0	0	2
P0C2H8	1	0	0	0	0	0	1
P53120	2	0	0	0	0	0	2
Q03759	1	0	0	0	0	0	1
P30822	1	2	0	0	0	0	3
P40354	1	0	0	0	0	0	1
P40002	1	0	0	0	0	0	1
P25644	2	0	0	0	0	0	2
Q06252	0	1	0	0	0	0	1
Q07688	1	0	0	0	0	0	1
Q01662	0	2	0	0	0	0	2
P53330	1	0	0	0	0	0	1
Q12220	1	0	7	0	0	0	8
Q12178	1	0	0	0	0	0	1
P50087	1	0	0	0	0	0	1
P40986	0	1	0	0	0	0	1
P53228	0	1	0	0	0	0	1
Q04067	1	1	0	0	0	0	2
P53183	1	0	0	0	0	0	1
P38970	0	1	0	0	0	0	1
P51998	1	0	0	0	0	0	1
Q12176	1	0	0	0	0	0	1
P53863	1	1	0	0	0	0	2
Q99288	0	1	0	0	0	0	1
Q12133	1	0	0	0	0	0	1
P16120	1	1	0	0	0	0	2
P47160	0	1	0	0	0	0	1
P38339	0	1	0	0	0	0	1
Q06672	1	0	0	0	0	0	1
P53215	0	2	0	0	0	0	2
P53094	0	0	1	0	0	0	1
P05749	1	0	0	0	0	0	1
P38079	0	1	0	0	0	0	1
Q08746	1	0	0	0	0	0	1
Q08581	1	0	0	0	0	0	1
P39722	2	2	0	0	0	0	4
P32901	1	0	0	0	0	0	1
