Uniprot	Family	Domain	Repeat	Motif	Coiled-coil	Disordered
P38314	0	1	0	0	0	0	1
P31688	2	0	0	0	0	0	2
P29509	0	1	0	0	0	0	1
Q06708	0	1	1	0	0	0	2
Q12045	0	1	0	0	0	0	1
P53604	0	1	0	0	0	0	1
Q99373	2	0	0	0	0	0	2
Q08204	0	1	0	0	0	0	1
Q04949	1	0	0	0	0	0	1
Q12209	1	0	0	0	0	0	1
P27654	1	0	0	0	0	0	1
P40316	1	0	0	0	0	0	1
P32836	0	1	0	0	0	0	1
P42951	1	0	0	0	0	0	1
P14359	1	0	0	0	0	0	1
P11484	1	0	0	0	0	0	1
P16550	1	0	0	0	0	0	1
P38870	0	1	0	0	0	0	1
P39735	1	0	0	0	0	0	1
Q06251	1	0	0	0	0	0	1
P38086	3	0	0	0	0	0	3
P53868	1	0	0	0	0	0	1
P0CE41	0	1	0	0	0	0	1
Q07793	2	1	0	0	0	0	3
P48164	1	0	0	0	0	0	1
P38791	0	1	0	0	0	0	1
Q99271	3	0	0	0	0	0	3
P38786	0	1	0	0	0	0	1
Q04930	1	0	0	0	0	0	1
P20438	0	1	0	0	0	0	1
P53749	0	2	0	0	0	0	2
Q08601	0	1	0	0	0	0	1
P39923	1	0	0	0	0	0	1
P0CF36	0	1	0	0	0	0	1
Q08986	1	0	0	0	0	0	1
P32472	0	1	0	0	0	0	1
P40164	1	0	0	0	0	0	1
P38211	1	0	0	0	0	0	1
P18759	0	4	0	0	0	0	4
P38356	1	0	0	0	0	0	1
P38344	1	0	0	0	0	0	1
Q12100	0	1	0	0	0	0	1
Q12226	1	0	0	0	0	0	1
P0CX37	1	0	0	0	0	0	1
Q04049	1	1	0	0	0	0	2
Q04178	0	1	0	0	0	0	1
P38890	1	0	0	0	0	0	1
P11792	1	3	0	0	0	0	4
P38121	2	0	0	0	0	0	2
P21375	1	0	0	0	0	0	1
P48558	1	0	0	0	0	0	1
P53294	1	0	0	0	0	0	1
P21147	0	2	0	0	0	0	2
Q12107	1	0	0	0	0	0	1
P38172	0	1	0	0	0	0	1
P53944	0	1	0	0	0	0	1
Q07684	1	0	0	0	0	0	1
P38139	0	1	0	0	0	0	1
Q12235	1	0	0	0	0	0	1
Q96VG5	1	0	0	0	0	0	1
P32527	0	2	0	0	0	0	2
Q04217	1	3	0	0	0	0	4
P25382	0	1	7	0	0	0	8
P40104	0	1	0	0	0	0	1
P53897	1	0	0	0	0	0	1
Q08689	1	0	0	0	0	0	1
Q03220	0	1	0	0	0	0	1
P38140	0	2	0	0	0	0	2
Q92392	1	0	0	0	0	0	1
P38273	1	0	0	0	0	0	1
P42935	0	0	5	0	0	0	5
P38729	1	0	0	0	0	0	1
P07170	0	2	0	0	0	0	2
P39715	1	0	0	0	0	0	1
Q12028	1	1	0	0	0	0	2
P00401	1	0	0	0	0	0	1
P0C2I4	1	0	0	0	0	0	1
Q04751	1	0	0	0	0	0	1
Q12461	1	0	0	0	0	0	1
P53255	2	0	0	0	0	0	2
P38795	1	1	0	0	0	0	2
P41800	1	0	0	0	0	0	1
Q08748	1	2	0	0	0	0	3
Q04225	1	0	2	0	0	0	3
P32799	1	0	0	0	0	0	1
Q12211	0	1	0	0	0	0	1
P53208	0	1	0	0	0	0	1
P32528	3	4	0	0	0	0	7
P54854	1	0	0	0	0	0	1
Q02831	0	0	0	0	0	1	1
Q01590	2	0	0	0	0	0	2
Q12088	2	1	0	0	0	0	3
P40480	0	0	3	0	0	0	3
Q08446	0	2	0	0	0	0	2
P06168	2	0	0	0	0	0	2
Q03530	1	0	0	0	0	0	1
P38886	0	1	0	0	0	0	1
P28584	1	0	0	0	0	0	1
Q08963	0	0	1	0	0	0	1
P37298	1	0	0	0	0	0	1
Q06624	0	1	0	0	0	0	1
P12754	1	0	0	0	0	0	1
P35728	0	2	0	0	0	0	2
Q08421	1	0	0	0	0	0	1
P12630	1	0	0	0	0	0	1
P53135	1	0	0	0	0	0	1
P41805	1	0	0	0	0	0	1
P0CX79	0	1	0	0	0	0	1
Q03390	1	0	0	0	0	0	1
P32330	0	0	2	0	0	0	2
P15442	0	6	0	0	0	0	6
Q04471	1	0	0	0	0	0	1
P49960	0	4	0	1	0	0	5
Q12266	1	0	0	0	0	0	1
P35172	0	2	0	0	0	0	2
Q08412	1	0	0	0	0	0	1
P17157	0	1	0	0	0	0	1
P47029	0	2	0	0	0	0	2
Q01560	0	2	0	0	0	0	2
Q12239	0	1	0	0	0	0	1
Q12359	1	0	0	0	0	0	1
P22035	0	2	0	0	0	0	2
Q03503	1	0	0	0	0	0	1
P0CE93	1	0	0	0	0	0	1
P06634	1	1	0	0	0	0	2
Q06504	1	0	0	0	0	0	1
P38628	1	1	0	0	0	0	2
P28737	0	1	0	0	0	0	1
Q04149	0	1	0	0	0	0	1
P0CW40	0	1	0	0	0	0	1
Q05022	0	3	0	0	0	0	3
Q06436	0	1	0	0	0	0	1
P40508	1	0	0	0	0	0	1
P09435	1	0	0	0	0	0	1
P40565	0	1	0	0	0	0	1
Q04002	1	1	0	0	0	0	2
Q04697	1	0	0	0	0	0	1
Q08281	0	1	2	0	0	0	3
Q06169	1	0	0	0	0	0	1
P05739	1	0	0	0	0	0	1
P48563	2	1	0	0	0	0	3
Q12066	1	0	0	0	0	0	1
P53923	1	0	0	0	0	0	1
P39939	1	0	0	0	0	0	1
P22517	0	1	0	0	0	0	1
P32489	1	0	0	0	0	0	1
Q12421	1	0	0	0	0	0	1
P06242	0	1	0	0	0	0	1
Q12753	0	1	0	0	0	0	1
Q12118	0	1	2	0	0	0	3
P00635	1	0	0	0	0	0	1
Q04307	0	2	0	0	0	0	2
P38820	0	2	0	0	0	0	2
P48237	1	0	0	0	0	0	1
P17891	1	0	0	0	0	0	1
P32899	1	1	0	0	0	0	2
P53982	0	1	0	0	0	0	1
Q12443	1	0	0	0	0	0	1
P53117	0	1	0	0	0	0	1
P40094	1	0	0	0	0	0	1
P46672	0	1	0	0	0	0	1
P32190	0	2	0	0	0	0	2
P50085	1	0	0	0	0	0	1
P38219	1	1	0	0	0	0	2
P47083	1	0	0	0	0	0	1
P21826	1	0	0	0	0	0	1
P22133	1	1	0	0	0	0	2
P32769	0	3	0	0	0	0	3
Q08422	1	0	0	0	0	0	1
P30771	0	4	0	0	0	0	4
P33757	0	1	0	0	0	0	1
Q06706	1	0	0	0	0	0	1
P54784	0	2	0	0	0	0	2
P36093	0	1	0	0	0	0	1
P33322	3	1	0	0	0	0	4
Q06680	1	0	0	0	0	0	1
Q08001	1	1	0	0	0	0	2
P38967	1	0	0	0	0	0	1
P48561	2	0	0	0	0	0	2
Q12043	2	0	0	0	0	0	2
P36032	1	0	0	0	0	0	1
P53378	0	2	0	0	0	0	2
P38930	0	1	0	0	0	0	1
P36525	1	0	0	0	0	0	1
P0CX20	1	2	0	0	0	0	3
Q12375	3	0	0	0	0	0	3
P42942	2	0	0	0	0	0	2
Q08816	1	0	0	0	0	0	1
P43558	1	0	0	0	0	0	1
P00427	0	1	0	0	0	0	1
Q03213	1	0	0	0	0	0	1
P53109	1	2	0	0	0	0	3
P53881	0	1	0	0	0	0	1
P07266	0	1	0	0	0	0	1
Q05942	1	0	0	0	0	0	1
P25453	0	2	0	0	0	0	2
P53838	2	0	0	0	0	0	2
Q92393	2	1	0	0	0	0	3
Q02608	1	0	0	0	0	0	1
P32644	0	3	0	0	0	0	3
P32776	0	3	0	0	0	0	3
Q02863	1	0	0	0	0	0	1
P32454	0	2	0	0	0	0	2
Q12511	1	0	0	0	0	0	1
P06782	0	3	0	0	0	0	3
P32610	1	0	0	0	0	0	1
P32327	0	6	0	0	0	0	6
P35178	1	0	0	0	0	0	1
P32621	1	0	0	0	0	0	1
P27882	1	0	0	0	0	0	1
Q06592	1	0	0	0	0	0	1
P30665	0	3	0	0	0	0	3
Q12496	1	1	0	0	0	0	2
P53742	1	1	0	0	0	0	2
P32807	1	2	0	0	0	0	3
P25293	1	0	0	0	0	0	1
P06103	1	1	0	0	0	0	2
P41930	1	0	0	0	0	0	1
P40851	1	1	0	0	0	0	2
Q05031	1	0	0	0	0	0	1
Q02647	0	1	0	0	0	0	1
P00358	0	2	0	0	0	0	2
P40578	0	1	1	0	0	0	2
Q06179	3	4	0	0	0	0	7
P07277	1	0	0	0	0	0	1
Q12314	1	0	0	0	0	0	1
Q04651	1	1	0	0	0	0	2
Q99312	1	0	0	0	0	0	1
P54780	1	0	0	0	0	0	1
Q03559	1	0	0	0	0	0	1
P40041	1	0	0	0	0	0	1
Q06892	1	0	0	0	0	0	1
P40106	1	0	0	0	0	0	1
P32464	1	0	0	0	0	0	1
Q05979	0	1	0	0	0	0	1
P40066	0	0	4	0	0	0	4
P38859	1	3	0	0	0	0	4
P39703	1	0	0	0	0	0	1
Q04458	1	0	0	0	0	0	1
P38927	0	1	0	0	0	0	1
P25334	0	1	0	0	0	0	1
Q03660	1	0	0	0	0	0	1
P47988	0	2	0	0	0	0	2
Q07589	2	0	0	0	0	0	2
P22438	1	0	0	0	0	0	1
P32445	0	1	0	0	0	0	1
P41543	1	0	0	0	0	0	1
P28742	0	1	0	0	0	0	1
P40088	1	0	0	0	0	0	1
P52553	0	0	0	0	1	0	1
Q08387	3	1	0	0	0	0	4
P38877	1	0	0	0	0	0	1
Q04364	0	1	0	0	0	0	1
P36057	0	1	0	0	0	0	1
P13188	2	2	0	0	0	0	4
Q08965	1	2	0	0	0	0	3
P0CF17	1	0	0	0	0	0	1
P40364	1	0	0	0	0	0	1
Q03964	1	0	0	0	0	0	1
Q04712	1	0	0	0	0	0	1
Q03088	1	0	0	0	0	0	1
Q12036	1	0	0	0	0	0	1
P14020	1	0	0	0	0	0	1
P23500	3	0	0	0	0	0	3
Q04212	0	1	0	0	0	0	1
P34226	0	0	7	0	0	0	7
Q07951	1	0	0	0	0	0	1
P53733	0	1	0	0	0	0	1
Q12245	1	0	0	0	0	0	1
P40340	0	2	0	0	0	0	2
P43605	0	2	0	0	0	0	2
P50084	1	0	0	0	0	0	1
Q12441	1	0	0	0	0	0	1
P38993	0	3	0	0	0	0	3
P28272	0	1	0	0	0	0	1
Q12482	3	0	0	0	0	0	3
P43589	1	1	0	0	0	0	2
Q12524	0	1	0	0	0	0	1
Q06563	1	0	0	0	0	0	1
P0CX60	1	0	0	0	0	0	1
Q96VH5	0	1	0	0	0	0	1
Q07895	0	2	0	0	0	0	2
P53961	1	0	0	0	0	0	1
P40352	2	0	0	0	0	0	2
Q12472	2	2	0	0	0	0	4
Q05874	1	0	0	0	0	0	1
Q06151	2	0	0	0	0	0	2
P05747	1	0	0	0	0	0	1
P38687	1	0	0	0	0	0	1
P16603	0	3	0	0	0	0	3
P02406	1	0	0	0	0	0	1
P32873	0	3	0	0	0	0	3
P04161	0	1	0	0	0	0	1
Q12340	0	1	0	0	0	0	1
P27692	1	1	1	0	0	0	3
P34162	1	0	0	0	0	0	1
P14065	0	1	0	0	0	0	1
P25294	0	2	0	0	0	0	2
Q08925	0	1	0	0	0	0	1
Q05497	2	0	0	0	0	0	2
P54867	0	1	0	0	0	0	1
P02994	0	3	0	0	0	0	3
P0CX55	1	0	0	0	0	0	1
Q12350	0	1	0	0	0	0	1
Q08438	1	0	0	0	0	0	1
P17967	0	3	0	0	0	0	3
P32324	0	5	0	0	0	0	5
P15274	0	1	0	0	0	0	1
P34111	1	0	0	0	0	0	1
P06101	0	3	0	0	0	0	3
P00856	1	0	0	0	0	0	1
P47024	1	1	0	0	0	0	2
P40005	0	0	0	0	1	0	1
P53836	0	1	0	0	0	0	1
Q07505	0	1	0	0	0	0	1
P38109	0	1	0	0	0	0	1
P53738	0	1	0	0	0	0	1
Q08742	0	1	0	0	0	0	1
P38138	2	1	0	0	0	0	3
P47044	1	0	0	0	0	0	1
P36034	2	0	0	0	0	0	2
Q08295	0	1	0	0	0	0	1
Q6B0R7	1	0	0	0	0	0	1
P19358	0	3	0	0	0	0	3
P00817	0	1	0	0	0	0	1
P53156	1	0	0	0	0	0	1
P30605	1	0	0	0	0	0	1
P53686	1	0	0	0	0	0	1
P53064	0	1	0	0	0	0	1
P12684	3	0	0	0	0	0	3
Q12450	0	1	0	0	0	0	1
P48234	0	1	0	0	0	0	1
P38715	0	1	0	0	0	0	1
Q04493	0	0	0	0	1	0	1
P53584	1	0	0	0	0	0	1
Q05924	0	1	0	0	0	0	1
P35843	1	0	0	0	0	0	1
Q99321	0	1	0	0	0	0	1
P42842	0	0	1	0	0	0	1
P38708	0	3	0	0	0	0	3
P42947	1	0	0	0	0	0	1
P39727	1	1	0	0	0	0	2
P38292	1	0	0	0	0	0	1
Q02256	0	1	0	0	0	0	1
Q12119	1	0	0	0	0	0	1
P32469	0	1	0	0	0	0	1
Q12389	1	2	0	0	0	0	3
P53854	1	1	0	0	0	0	2
P38310	1	0	0	0	0	0	1
P50278	0	1	0	0	0	0	1
P49334	1	0	0	0	0	0	1
P40059	0	1	0	0	0	0	1
P0C2I9	2	1	0	0	0	0	3
Q12509	1	0	0	0	0	0	1
P38242	1	0	0	0	0	0	1
P20459	1	1	0	0	0	0	2
P0CX83	1	0	0	0	0	0	1
P36078	0	1	0	0	0	0	1
P48362	2	0	0	0	0	0	2
P36088	0	1	0	0	0	0	1
Q08749	1	0	0	0	0	0	1
Q02516	0	1	0	0	0	0	1
P32580	2	0	0	0	0	0	2
P38147	0	1	0	0	0	0	1
P35817	1	2	0	0	0	0	3
P25631	0	0	1	0	0	0	1
Q05871	0	1	0	0	0	0	1
P32459	0	1	0	0	0	0	1
P53235	1	0	0	0	0	0	1
Q12408	0	1	0	0	0	0	1
P40071	1	0	0	0	0	0	1
P38429	1	0	0	0	0	0	1
P32601	0	1	0	0	0	0	1
P15703	0	1	0	0	0	0	1
Q12309	1	0	0	0	0	0	1
P39723	0	1	0	0	0	0	1
Q08023	0	0	2	0	0	0	2
P46954	0	1	0	0	0	0	1
P37303	0	1	0	0	0	0	1
P38837	1	0	0	0	0	0	1
P53899	1	0	0	0	0	0	1
P38070	1	1	0	0	0	0	2
Q04412	0	1	0	0	0	0	1
Q12374	1	0	0	0	0	0	1
P38166	1	0	0	0	0	0	1
Q12514	2	0	0	0	0	0	2
P53112	1	0	0	0	0	0	1
P06182	1	0	0	0	0	0	1
P40159	1	0	0	0	0	0	1
Q05518	1	0	0	0	0	0	1
Q03161	1	0	0	0	0	0	1
P53903	1	0	0	0	0	0	1
P53600	0	1	0	0	0	0	1
P39959	0	2	0	0	0	0	2
P42844	0	1	0	0	0	0	1
Q12136	0	1	0	0	0	0	1
P05085	1	1	0	0	0	0	2
P38341	1	0	0	0	0	0	1
P26448	1	0	0	0	0	0	1
Q03280	3	1	0	0	0	0	4
Q12161	0	1	0	0	0	0	1
P40472	1	0	0	0	0	0	1
P33401	1	3	0	0	0	0	4
P38707	0	2	0	0	0	0	2
P15367	0	1	0	0	0	0	1
Q04477	1	0	0	0	0	0	1
P22147	1	0	0	0	0	0	1
P00912	0	1	0	0	0	0	1
P47111	1	0	0	0	0	0	1
P00045	0	1	0	0	0	0	1
P22135	1	0	0	0	0	0	1
P53725	1	0	0	0	0	0	1
Q02724	0	1	0	0	0	0	1
P80428	1	0	0	0	0	0	1
P38604	0	2	0	0	0	0	2
P53035	0	1	0	0	0	0	1
P03879	0	3	0	0	0	0	3
Q06160	1	0	0	0	0	0	1
P38306	0	0	0	0	0	1	1
Q08930	1	0	0	0	0	0	1
Q05568	1	1	0	0	0	0	2
P33323	1	0	0	0	0	0	1
Q12046	0	2	0	0	0	0	2
P53246	0	1	0	0	0	0	1
P38315	1	0	0	0	0	0	1
P33895	1	0	0	0	0	0	1
D6W196	2	2	0	0	0	0	4
P32796	1	0	0	0	0	0	1
P40968	0	0	4	0	0	0	4
P46965	1	0	0	0	0	0	1
P34225	0	1	0	0	0	0	1
P53507	1	0	0	0	0	0	1
P46682	1	0	0	0	0	0	1
P0C155	1	1	0	0	0	0	2
P33203	4	2	0	0	0	0	6
P29467	1	0	0	0	0	0	1
Q03212	1	0	0	0	0	0	1
P39524	4	0	0	0	0	0	4
P31412	1	0	0	0	0	0	1
P47149	1	0	0	0	0	0	1
P25373	0	1	0	0	0	0	1
P38771	0	1	0	0	0	0	1
P12383	0	2	0	0	0	0	2
P14306	0	1	0	0	0	0	1
P47032	0	1	0	0	0	0	1
P53093	0	1	0	0	0	0	1
Q12212	0	1	0	0	0	0	1
P53687	1	0	0	0	0	0	1
P40469	0	2	0	0	0	0	2
P25604	0	2	0	0	0	0	2
P12695	1	2	0	0	0	0	3
Q07938	0	1	0	0	0	0	1
P21657	0	2	0	0	0	0	2
P40460	1	0	0	0	0	0	1
P06243	0	2	0	0	0	0	2
Q08984	1	0	0	0	0	0	1
P25389	0	2	0	0	0	0	2
Q3E7A9	0	1	0	0	0	0	1
P40169	1	0	0	0	0	0	1
P38359	1	1	0	0	0	0	2
P32797	0	2	0	0	0	0	2
P19454	0	1	0	0	0	0	1
P38810	0	5	0	0	0	0	5
Q08826	0	1	0	0	0	0	1
Q06147	1	0	0	0	0	0	1
Q04675	0	1	0	0	0	0	1
P06843	0	1	0	0	0	0	1
P14747	0	1	0	0	0	0	1
P23248	1	0	0	0	0	0	1
P40485	0	1	0	0	0	0	1
P03870	1	1	0	0	0	0	2
P0CY07	1	0	0	0	0	0	1
O14464	0	1	0	0	0	0	1
P09547	0	1	0	0	0	0	1
P53759	1	0	0	0	0	0	1
P18480	1	0	0	0	0	0	1
P06783	1	0	0	0	0	0	1
P22148	1	0	0	0	0	0	1
P39720	0	1	0	0	0	0	1
Q2V2P5	1	0	0	0	0	0	1
P25357	0	2	0	0	0	0	2
P11914	1	1	0	0	0	0	2
P07284	0	2	0	0	0	0	2
P41735	0	1	0	0	0	0	1
P0CX54	0	2	0	0	0	0	2
P53082	1	0	0	0	0	0	1
P00128	1	0	0	0	0	0	1
P32316	0	2	0	0	0	0	2
P07834	0	2	5	0	0	0	7
P32529	0	2	0	0	0	0	2
Q06336	0	3	0	0	0	0	3
P38246	1	0	0	0	0	0	1
P52492	0	1	0	0	0	0	1
P11433	0	4	0	0	0	0	4
P53914	3	1	0	0	0	0	4
P38748	1	2	0	0	0	0	3
P25594	1	0	0	0	0	0	1
Q03516	3	1	0	0	0	0	4
Q12173	1	0	0	0	0	0	1
P53304	1	0	0	0	0	0	1
Q12143	1	0	0	0	0	0	1
P34166	1	0	0	0	0	0	1
Q06148	1	0	0	0	0	0	1
P46948	0	2	0	0	0	0	2
P38921	3	0	0	0	0	0	3
P09880	1	2	0	0	0	0	3
P53861	1	0	0	0	0	0	1
P01123	0	1	0	0	0	0	1
Q12158	2	0	0	0	0	0	2
Q08109	0	1	0	0	0	0	1
P38894	0	1	11	0	0	0	12
P38714	1	2	0	0	0	0	3
P41911	1	1	0	0	0	0	2
Q06328	0	0	2	0	0	0	2
Q08119	1	0	0	0	0	0	1
P15019	0	1	0	0	0	0	1
P39943	0	1	0	0	0	0	1
P40024	0	3	0	0	0	0	3
P41318	0	0	4	0	0	0	4
P32435	3	0	0	0	0	0	3
P25627	1	1	0	0	0	0	2
Q12128	0	1	0	0	0	0	1
Q08278	1	0	0	0	0	0	1
Q12417	0	0	5	0	0	0	5
Q12349	1	0	0	0	0	0	1
P47064	0	1	0	0	0	0	1
P46973	0	1	0	0	0	0	1
Q03694	1	0	0	0	0	0	1
P19882	1	0	0	0	0	0	1
P45818	1	1	0	0	0	0	2
P32898	2	2	0	0	0	0	4
P23287	0	1	0	0	0	0	1
Q05635	1	0	0	0	0	0	1
P15108	1	1	0	0	0	0	2
P21242	0	2	0	0	0	0	2
P13090	1	0	0	0	0	0	1
P00360	0	2	0	0	0	0	2
Q12325	1	0	0	0	0	0	1
Q06063	1	0	0	0	0	0	1
P43123	1	0	0	0	0	0	1
P0CX39	1	0	0	0	0	0	1
P49775	0	1	0	0	0	0	1
P31115	0	1	0	0	0	0	1
Q07084	0	1	0	0	0	0	1
P00424	1	0	0	0	0	0	1
P32902	1	0	0	0	0	0	1
P0CF33	0	1	0	0	0	0	1
Q08448	1	0	0	0	0	0	1
P39993	0	2	0	0	0	0	2
P32891	0	2	0	0	0	0	2
Q04740	2	1	0	0	0	0	3
P21771	0	1	0	0	0	0	1
Q05050	1	0	0	0	0	0	1
P32915	1	1	0	0	0	0	2
P53011	0	0	4	0	0	0	4
P36104	0	0	2	0	0	0	2
P47049	0	1	0	0	0	0	1
P04397	1	1	0	0	0	0	2
P23059	0	1	0	0	0	0	1
Q12218	1	0	0	0	0	0	1
Q00764	1	0	0	0	0	0	1
P36006	1	2	0	0	0	0	3
Q02961	0	1	0	0	0	0	1
P40353	1	0	0	0	0	0	1
P53334	0	1	0	0	0	0	1
P53081	1	0	0	0	0	0	1
P38254	2	0	0	0	0	0	2
P20436	1	0	0	0	0	0	1
P32660	3	0	0	0	0	0	3
P14905	1	0	0	0	0	0	1
Q03656	0	2	0	0	0	0	2
P23254	0	3	0	0	0	0	3
P12945	2	0	0	0	0	0	2
Q12429	1	1	0	0	0	0	2
P32867	1	1	0	0	0	0	2
P26755	0	1	0	0	0	0	1
P43583	1	2	0	0	0	0	3
P0CX24	0	1	0	0	0	0	1
P53202	1	1	0	0	0	0	2
P40555	0	1	0	0	0	0	1
P53911	1	0	0	0	0	0	1
Q05166	0	1	0	0	0	0	1
P32910	1	0	0	0	0	0	1
Q99234	1	0	0	0	0	0	1
P40965	0	4	0	0	0	0	4
Q12504	1	0	0	0	0	0	1
P27796	0	2	0	0	0	0	2
P53912	1	0	0	0	0	0	1
Q99297	3	0	0	0	0	0	3
P38331	0	1	0	0	0	0	1
P42833	1	0	0	0	0	0	1
P38756	0	1	0	0	0	0	1
P50113	1	0	0	0	0	0	1
P38276	1	0	0	0	0	0	1
Q03705	0	1	0	0	0	0	1
P25039	0	5	0	0	0	0	5
P35192	0	1	0	0	0	0	1
P38907	1	0	0	0	0	0	1
P34220	0	1	0	0	0	0	1
P32944	0	1	0	0	0	0	1
P23202	0	2	0	0	0	0	2
P14832	0	1	0	0	0	0	1
P34219	0	1	0	0	0	0	1
P53060	1	0	0	0	0	0	1
P40454	1	0	0	0	0	0	1
P40573	1	0	0	0	0	0	1
P36118	1	0	0	0	0	0	1
P38179	1	0	0	0	0	0	1
P10659	0	3	0	0	0	0	3
Q03266	0	1	0	0	0	0	1
P08521	1	0	0	0	0	0	1
P35845	1	1	1	0	0	0	3
Q06639	0	1	0	0	0	0	1
P43553	1	0	0	0	0	0	1
P32331	3	0	0	0	0	0	3
P34248	1	0	0	0	0	0	1
P36062	1	0	0	0	0	0	1
P50944	1	0	0	0	0	0	1
P53227	1	0	0	0	0	0	1
P0CX25	1	0	0	0	0	0	1
P40032	0	1	0	0	0	0	1
P25358	1	0	0	0	0	0	1
Q12103	1	0	0	0	0	0	1
P53691	0	1	0	0	0	0	1
P47135	0	1	3	0	0	0	4
Q2V2P4	1	0	0	0	0	0	1
P25045	0	1	0	0	0	0	1
P25635	1	0	5	0	0	0	6
Q99326	0	1	0	0	0	0	1
Q03034	1	0	0	0	0	0	1
Q04003	1	0	0	0	0	0	1
P53962	0	0	2	0	0	0	2
Q03702	0	1	0	0	0	0	1
Q00582	0	1	0	0	0	0	1
P47102	0	2	0	0	0	0	2
P53212	1	0	0	0	0	0	1
P0C2J1	2	1	0	0	0	0	3
P53844	0	2	0	0	0	0	2
P38772	0	1	0	0	0	0	1
