uniprot	Family	Domain	Repeat	Motif	Coiled-coil	Disordered	tot
P40413	1	0	0	0	0	0	1
P05737	0	2	0	0	0	0	2
Q3E7X9	1	0	0	0	0	0	1
P05744	0	1	0	0	0	0	1
Q08225	1	0	0	0	0	0	1
P15496	0	1	0	0	0	0	1
P37012	1	3	0	0	0	0	4
P38205	1	0	0	0	0	0	1
P36421	1	0	0	0	0	0	1
P23644	1	0	0	0	0	0	1
P34730	0	1	0	0	0	0	1
P32861	1	0	0	0	0	0	1
P07275	1	0	0	0	0	0	1
P48015	0	2	0	0	0	0	2
P00560	0	1	0	0	0	0	1
Q08647	1	0	0	0	0	0	1
P09733	0	2	0	0	0	0	2
P54838	2	0	0	0	0	0	2
P53900	0	0	0	0	1	0	1
P15180	0	2	0	0	0	0	2
P09457	1	0	0	0	0	0	1
P36010	0	1	0	0	0	0	1
Q12165	0	1	0	0	0	0	1
P00445	0	1	0	0	0	0	1
P00498	1	1	0	0	0	0	2
Q12377	0	1	0	0	0	0	1
P39976	0	2	0	0	0	0	2
P48837	6	1	0	0	0	0	7
P06169	0	3	0	0	0	0	3
P04802	0	2	0	0	0	0	2
P23776	0	1	0	0	0	0	1
P51601	0	1	0	0	0	0	1
P40212	1	0	0	0	0	0	1
P38701	1	0	0	0	0	0	1
Q08723	2	0	0	0	0	0	2
P17423	1	0	0	0	0	0	1
P27472	1	0	0	0	0	0	1
Q12074	0	2	0	0	0	0	2
P38061	1	0	0	0	0	0	1
P40037	0	1	0	0	0	0	1
Q02948	1	0	0	0	0	0	1
P15565	1	0	0	0	0	0	1
P38342	0	1	0	0	0	0	1
P31373	0	1	0	0	0	0	1
P07347	1	0	0	0	0	0	1
P07149	2	3	0	0	0	0	5
P48836	1	0	0	0	0	0	1
P21827	0	0	5	0	0	0	5
P39076	1	0	0	0	0	0	1
P42945	1	1	0	0	0	0	2
P47047	1	3	0	0	0	0	4
P54839	0	2	0	0	0	0	2
P00931	1	1	0	0	0	0	2
P30657	0	1	0	0	0	0	1
P21243	0	2	0	0	0	0	2
Q08822	1	1	0	0	0	0	2
P04806	0	2	0	0	0	0	2
P40327	0	1	0	0	0	0	1
P00899	2	0	0	0	0	0	2
P14126	1	0	0	0	0	0	1
P38281	1	0	0	0	0	0	1
P40961	1	0	0	0	0	0	1
P32599	0	4	0	0	0	0	4
P40302	0	2	0	0	0	0	2
P53172	0	2	0	0	0	0	2
P28834	0	1	0	0	0	0	1
P41814	1	0	0	0	0	0	1
P03965	0	4	0	0	0	0	4
P47018	1	0	0	0	0	0	1
P07246	1	1	0	0	0	0	2
P17883	0	0	1	0	0	0	1
Q10740	0	2	0	0	0	0	2
P26784	1	0	0	0	0	0	1
P26321	1	1	0	0	0	0	2
P32835	0	1	0	0	0	0	1
P32449	0	1	0	0	0	0	1
P00890	0	1	0	0	0	0	1
P39111	1	0	0	0	0	0	1
P33298	0	1	0	0	0	0	1
P29311	0	1	0	0	0	0	1
Q12265	0	2	0	0	0	0	2
P50861	0	1	0	0	0	0	1
P40303	0	2	0	0	0	0	2
Q04728	1	0	0	0	0	0	1
P54783	1	1	0	0	0	0	2
P47039	0	1	0	0	0	0	1
P0CX84	1	0	0	0	0	0	1
P39078	1	0	0	0	0	0	1
P42940	0	1	0	0	0	0	1
P32332	3	0	0	0	0	0	3
P39006	1	0	0	0	0	0	1
P07991	0	1	0	0	0	0	1
P14906	0	1	0	0	0	0	1
P22203	1	0	0	0	0	0	1
P53598	0	2	0	0	0	0	2
P35997	1	0	0	0	0	0	1
P25087	1	1	0	0	0	0	2
P49090	0	3	0	0	0	0	3
Q08971	1	0	0	0	0	0	1
P17505	1	1	0	0	0	0	2
P36060	0	2	0	0	0	0	2
P38764	0	0	2	0	0	0	2
P02557	0	2	0	0	0	0	2
P12709	0	1	0	0	0	0	1
P38077	0	1	0	0	0	0	1
P23724	0	1	0	0	0	0	1
P21264	1	1	0	0	0	0	2
P00359	0	2	0	0	0	0	2
Q03148	0	1	0	0	0	0	1
Q08745	0	1	0	0	0	0	1
P32614	1	0	0	0	0	0	1
P05373	0	1	0	0	0	0	1
P32377	1	0	0	0	0	0	1
P53090	0	1	0	0	0	0	1
P52891	1	0	0	0	0	0	1
P38624	0	1	0	0	0	0	1
Q12464	1	0	0	0	0	0	1
P38821	1	0	0	0	0	0	1
Q04409	0	2	0	0	0	0	2
P32496	1	0	0	0	0	0	1
P07244	0	5	0	0	0	0	5
P00950	0	1	0	0	0	0	1
P40495	0	1	0	0	0	0	1
P53905	0	1	0	0	0	0	1
Q03195	1	3	0	0	0	0	4
P23542	0	1	0	0	0	0	1
P39958	1	0	0	0	0	0	1
P53549	0	1	0	0	0	0	1
P05319	1	0	0	0	0	0	1
P32264	2	0	0	0	0	0	2
P17709	0	2	0	0	0	0	2
P07263	0	2	0	0	0	0	2
P38689	0	2	0	0	0	0	2
P07259	0	8	0	0	0	0	8
P37291	0	1	0	0	0	0	1
P0C0W9	0	2	0	0	0	0	2
P53852	1	0	0	0	0	0	1
P16387	1	0	0	0	0	0	1
P04456	2	0	0	0	0	0	2
P49095	0	2	0	0	0	0	2
Q05911	0	2	0	0	0	0	2
Q05933	1	0	0	0	0	0	1
P12612	1	0	0	0	0	0	1
P36161	0	1	0	0	0	0	1
P40054	0	2	0	0	0	0	2
P46654	2	0	0	0	0	0	2
P34760	0	2	0	0	0	0	2
P33734	1	1	0	0	0	0	2
P10869	1	1	0	0	0	0	2
P21576	2	1	0	0	0	0	3
P49626	1	1	0	0	0	0	2
Q12122	0	1	0	0	0	0	1
P40525	1	0	0	0	0	0	1
P48570	0	1	0	0	0	0	1
P11154	0	6	0	0	0	0	6
P08417	0	2	0	0	0	0	2
Q08985	1	0	0	0	0	0	1
P54113	1	1	0	0	0	0	2
P43569	0	1	0	0	0	0	1
Q05506	1	2	0	0	0	0	3
P46367	1	0	0	0	0	0	1
Q12125	1	0	0	0	0	0	1
Q06103	1	1	0	0	0	0	2
P33330	0	1	0	0	0	0	1
P16861	0	2	0	0	0	0	2
P16370	0	2	0	0	0	0	2
P54885	1	0	0	0	0	0	1
P05318	1	0	0	0	0	0	1
P0CX51	1	0	0	0	0	0	1
P32263	1	1	0	0	0	0	2
P46680	0	0	2	0	0	0	2
P25451	0	1	0	0	0	0	1
Q04792	0	1	0	0	0	0	1
P40093	1	0	0	0	0	0	1
Q03940	1	0	0	0	0	0	1
Q03558	0	1	0	0	0	0	1
P00925	0	2	0	0	0	0	2
Q12480	0	2	0	0	0	0	2
P13663	0	2	0	0	0	0	2
P22768	1	0	0	0	0	0	1
